LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
amm,1,1,1.03858836387606,0,1,1.03856229471085,0,-2.60691652100853E-05,1,1.03855430831775,0,-3.40555583100421E-05
amn,1,1,1.00010441019034,0,1,1.00010458028385,0,1.7009350994357E-07,1,1.00010461859046,0,2.08400120049745E-07
amo,1,1,1.00360205910868,0,1,1.0035670111945,0,-3.50479141799642E-05,1,1.00356496720372,0,-3.70919049601515E-05
amp,1,1,1.00104671149212,0,1,1.00104743759307,0,7.2610095003256E-07,1,1.00104750747878,0,7.95986659918313E-07
amr,1,1,1.24718425405546,0,1,1.26769740440805,0,0.02051315035259,1,1.28026380442154,0,0.03307955036608
ams,1,1,1.16001041585216,0,1,1.16075144522361,0,0.00074102937145,1,1.16091789978009,0,0.00090748392793
amt,1,1,1.06596286852361,0,1,1.06596010625443,0,-2.76226918005662E-06,1,1.0659635092878,0,6.40764189929755E-07
amu,1,1,1.05706494066661,0,1,1.05693233454845,0,-0.00013260611816,1,1.05690069042306,0,-0.00016425024355
amv,1,1,1.11664772479394,0,1,1.11676684659077,0,0.00011912179683,1,1.11681595194883,0,0.00016822715489
amw,1,1,1.17642379151247,0,1,1.17627885415634,0,-0.00014493735613,1,1.17624889195392,0,-0.00017489955855
amx,1,1,1.01383820277991,0,1,1.01384325103045,0,5.04825054004066E-06,1,1.01384621621895,0,8.01343904011098E-06
amy,2,2,1.82371678059965,0,2,1.8238971998459,0,0.00018041924625,2,1.82393356295193,0,0.00021678235228
ana,3,3,2.72587615073435,0,3,2.61873290837352,0,-0.10714324236083,3,2.43684716288056,0,-0.28902898785379
anb,3,3,2.90256266249816,0,3,2.92845723278738,0,0.02589457028922,3,2.94143220686472,0,0.03886954436656
anc,1,1,1.00066633222717,0,1,1.00066208751588,0,-4.24471129001347E-06,1,1.00066127977006,0,-5.05245711002189E-06
