ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO
CES-CZE,ces-CZE,ces-cz,ces-EZ,Czech,Czech,CZECH,Czech,ces
TAT-RUS,tat-RUS,tat-ru,tat-RS,Tatar,Tatar,TATAR,Tatar,tat
BEN-BGD,ben-BGD,ben-bd,ben-BG,Bengali,Bengali,BENGALI,Bengali,ben
LVS-LVA,lvs-LVA,lvs-lv,lvs-LG,Standard Latvian,"Latvian, Standard","LATVIAN, STANDARD","Latvian, Standard",lvs
GAZ-ETH,gaz-ETH,gaz-et,gaz-ET,West Central Oromo,"Oromo, West Central","OROMO, WEST CENTRAL","Oromo, West Central",gaz
SCO-GBR,sco-GBR,sco-gb,sco-UK,Scots,Scots,SCOTS,Scots,sco
AYR-CHL,ayr-CHL,ayr-cl,ayr-CI,Central Aymara,"Aymara, Central","AYMARA, CENTRAL","Aymara, Central",ayr
ENG-IRL,eng-IRL,eng-ie,eng-EI,English,English,ENGLISH,English,eng
SND-PAK,snd-PAK,snd-pk,snd-PK,Sindhi,Sindhi,SINDHI,Sindhi,snd
AYL-EGY,ayl-EGY,ayl-eg,ayl-EG,Western Egyptian Bedawi Spoken Arabic,"Arabic, Western Egyptian Bedawi Spoken","ARABIC, WESTERN EGYPTIAN BEDAWI SPOKEN","Arabic, Western Egyptian Bedawi Spoken",ayl
HAZ-AFG,haz-AFG,haz-af,haz-AF,Hazaragi,Hazaragi,HAZARAGI,Hazaragi,haz
JAV-IDN,jav-IDN,jav-id,jav-ID,Javanese,Javanese,JAVANESE,Javanese,jav
LIT-LTU,lit-LTU,lit-lt,lit-LH,Lithuanian,Lithuanian,LITHUANIAN,Lithuanian,lit
SJD-RUS,sjd-RUS,sjd-ru,sjd-RS,Kildin Saami,"Saami, Kildin","SAAMI, KILDIN","Saami, Kildin",sjd
AYR-BOL,ayr-BOL,ayr-bo,ayr-BL,Central Aymara,"Aymara, Central","AYMARA, CENTRAL","Aymara, Central",ayr
FVR-SDN,fvr-SDN,fvr-sd,fvr-SU,Fur,Fur,FUR,Fur,fvr
AYN-YEM,ayn-YEM,ayn-ye,ayn-YM,Sanaani Spoken Arabic,"Arabic, Sanaani Spoken","ARABIC, SANAANI SPOKEN","Arabic, Sanaani Spoken",ayn
MPJ-AUS,mpj-AUS,mpj-au,mpj-AS,Martu Wangka,Martu Wangka,MARTU WANGKA,Martu Wangka,mpj
SHI-MAR,shi-MAR,shi-ma,shi-MO,Tachelhit,Tachelhit,TACHELHIT,Tachelhit,shi
TSO-MOZ,tso-MOZ,tso-mz,tso-MZ,Tsonga,Tsonga,TSONGA,Tsonga,tso
UMB-AGO,umb-AGO,umb-ao,umb-AO,Umbundu,Umbundu,UMBUNDU,Umbundu,umb
ZNE-COD,zne-COD,zne-cd,zne-CG,Zande,Zande,ZANDE,Zande,zne
KOY-USA,koy-USA,koy-us,koy-US,Koyukon,Koyukon,KOYUKON,Koyukon,koy
SOT-ZAF,sot-ZAF,sot-za,sot-SF,Southern Sotho,"Sotho, Southern","SOTHO, SOUTHERN","Sotho, Southern",sot
KPY-RUS,kpy-RUS,kpy-ru,kpy-RS,Koryak,Koryak,KORYAK,Koryak,kpy
YOR-NGA,yor-NGA,yor-ng,yor-NI,Yoruba,Yoruba,YORUBA,Yoruba,yor
SRP-SRB,srp-SRB,srp-rs,srp-RI,Serbian,Serbian,SERBIAN,Serbian,srp
SPA-HND,spa-HND,spa-hn,spa-HO,Spanish,Spanish,SPANISH,Spanish,spa
KGP-BRA,kgp-BRA,kgp-br,kgp-BR,Kaingang,Kaingang,KAINGANG,Kaingang,kgp
HSN-CHN,hsn-CHN,hsn-cn,hsn-CH,Xiang Chinese,"Chinese, Xiang","CHINESE, XIANG","Chinese, Xiang",hsn
THV-NER,thv-NER,thv-ne,thv-NG,Tahaggart Tamahaq,"Tamahaq, Tahaggart","TAMAHAQ, TAHAGGART","Tamahaq, Tahaggart",thv
FUC-SEN,fuc-SEN,fuc-sn,fuc-SG,Pulaar,Pulaar,PULAAR,Pulaar,fuc
GEH-USA,geh-USA,geh-us,geh-US,Hutterite German,"German, Hutterite","GERMAN, HUTTERITE","German, Hutterite",geh
HER-BWA,her-BWA,her-bw,her-BC,Herero,Herero,HERERO,Herero,her
DSQ-MLI,dsq-MLI,dsq-ml,dsq-ML,Tadaksahak,Tadaksahak,TADAKSAHAK,Tadaksahak,dsq
BNS-IND,bns-IND,bns-in,bns-IN,Bundeli,Bundeli,BUNDELI,Bundeli,bns
